epoch,acc,loss,val_acc,val_loss
0,0.33226514333484275,1.7617072597259704,0.3978824275168213,1.6763331319407089
1,0.438120450037243,1.5003968970130914,0.480495970933907,1.4367993762708866
2,0.4845867149715841,1.3844777639600907,0.4690721758762486,1.4253138859156083
3,0.5075760214587622,1.3158332221356632,0.4662858840980115,1.4557557481017476
4,0.5242955170862726,1.276020835948184,0.5139314688889554,1.2886007111130335
5,0.5357901703308998,1.2468445605131155,0.5363611156029036,1.2401477137534325
6,0.5480511337913163,1.2119999432157684,0.5282808706313828,1.2741313997389347
7,0.5571771918224181,1.186482342546265,0.5220117143898431,1.2825620074575577
8,0.560312097253809,1.174533952033658,0.565199232520367,1.1804502293608685
9,0.5692988261562301,1.1509038389109034,0.5054332799866991,1.3861840668817638
